NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
10 / TBAI-62573720N-080221-iNZpdu9WY3sJ0-169 / 167.81369996070862 / 35.134800016880035
20 / TBAI-83595071F-170121-MSBtCRAsKr0zA-103 / 225.41150003671646 / 47.35330003499985
30 / TBAI-64587150E-150221-Z9HRfwuWNGOtS-168 / 328.7979999780655 / 71.31499999761581
40 / TBAI-43412068M-040121-adwjpW8JsjAf+-190 / 431.52129995822906 / 84.05839997529984
50 / TBAI-05805485D-130121-FbE/MwdrxucDK-044 / 526.3592000007629 / 118.94120001792908
60 / TBAI-59167657L-270121-RRVKroYnjYLtI-235 / 633.3289999961853 / 138.10729998350143
70 / TBAI-96182690W-280121-bvZ+s6ozrIAdU-084 / 725.5850999951363 / 157.47229999303818
80 / TBAI-30610942N-100121-Xo6wUhsqq4HJ4-220 / 833.4319000244141 / 195.69969999790192
90 / TBAI-94305101H-250221-NnOR4xYdiLKQl-237 / 929.0175999999046 / 190.51279997825623
100 / TBAI-50506210G-150221-RXnuXqimdNi/S-039 / 1108.8580000400543 / 370.3159000277519
110 / TBAI-53609870K-070221-gEew9WJiS/ESc-240 / 1152.6037999987602 / 253.17830002307892
120 / TBAI-06931232K-070221-NoGjhNHgmrFJS-036 / 1251.868499994278 / 292.09769999980927
130 / TBAI-82916665D-040121-SMwKL4NBrkXCP-033 / 1325.1391000151634 / 321.97179996967316
140 / TBAI-79181882N-250121-T62Xo8woRYiY2-133 / 1421.5227999687195 / 350.9872000217438
150 / TBAI-26952871E-190121-F0ipNS3EIwjvx-109 / 1544.1852999925613 / 397.9233999848366
160 / TBAI-10272506Q-180221-nS0s7PWO2zoHh-003 / 1644.47570002079 / 411.4233999848366
170 / TBAI-54961120K-010221-XOBtG8vHA3W4P-215 / 1735.2749000191689 / 412.5320999622345
180 / TBAI-07171927K-050221-rn46++MjADXez-016 / 1829.868799984455 / 458.4341000318527
190 / TBAI-94855825F-170121-ktg9MaovcXHDB-103 / 1943.922100007534 / 524.7954999804497
200 / TBAI-59597765G-120121-p0VeSL3J9UAnM-041 / 2045.1758999824524 / 516.8891999721527
210 / TBAI-91691354Z-220221-wT6EEiE+zTp+X-139 / 2136.7067999839783 / 586.3495999574661
220 / TBAI-74888798Q-080221-ADB3D51W0l1B9-182 / 2235.6833999753 / 656.5198000073433
230 / TBAI-37657750B-240221-adrGxC/avtdKx-121 / 2316.7461000084877 / 696.1554999947548
240 / TBAI-96994465S-300121-ZNifzRfvi1ItZ-080 / 2431.5302000045776 / 733.906700015068
250 / TBAI-86522154H-240121-AdKUTIb2yuCsY-200 / 2509.8797000050545 / 753.622200012207
260 / TBAI-11948533X-160221-T3RbIjH5bK669-065 / 2656.15600001812 / 740.0193000435829
270 / TBAI-62011639M-020221-s3kM0HZAXAnZx-148 / 2707.4516000151634 / 814.0557000041008
280 / TBAI-42764316W-040221-Lth7SBhUrnBL4-211 / 2813.5421999692917 / 852.2290999889374
290 / TBAI-72028641R-260121-gJ78qbnqRcZtD-060 / 2907.2774000167847 / 877.3424000144005
300 / TBAI-04447162C-110121-XVcV8j6LedYZC-214 / 2997.375400006771 / 970.7634000182152
310 / TBAI-91516685F-160121-Fedhw/qMP9wYI-127 / 3089.727699995041 / 1035.9136999845505
320 / TBAI-57102777X-050221-P0/up+VU+iQNX-182 / 3191.2056000232697 / 1359.665199995041
330 / TBAI-18286164Z-280121-O0qohyvqgM2D8-060 / 3344.1665999889374 / 1468.8148000240326
340 / TBAI-50407598Q-140121-SQbZnOSk9/7z+-069 / 3368.3920999765396 / 1703.447400033474
350 / TBAI-93932211G-030121-utSdkp5hU81oc-139 / 3468.364699959755 / 2059.5369000434875
360 / TBAI-98639115G-040121-QP9kB5n3jNeHK-192 / 3548.734899997711 / 1705.0099999904633
370 / TBAI-55742373X-060121-ZfWE1ktZwEqRH-195 / 3753.319299995899 / 1535.9512000083923
380 / TBAI-62136183G-200121-CEgJCjfVbdXMc-132 / 3756.4621000289917 / 1333.0645999908447
390 / TBAI-23552116R-030121-zb31nkS8l4VFb-079 / 3902.6898000240326 / 1300.6668999791145
400 / TBAI-58778393F-180221-DOXBZ1ya/IBUr-084 / 3986.198499917984 / 1379.3633999824524
410 / TBAI-39763993Y-010221-JLCvGR6q0T5fb-154 / 4116.56299996376 / 1445.3233000040054
420 / TBAI-13375412S-040221-ceGtvUT45hQCT-142 / 4171.1466999053955 / 1517.6691000461578
430 / TBAI-33098664P-030221-Qo5yVJoTkBTcn-238 / 4220.1236000061035 / 1426.3420000076294
440 / TBAI-46025601W-140121-n908qc5NpBul4-029 / 4429.780200004578 / 1710.3754999637604
450 / TBAI-22527470M-060121-aGN/CtYD5PokH-174 / 4515.044600009918 / 1481.0259000062943
460 / TBAI-50648255R-270121-F897aJPJrdlzJ-243 / 4560.289499998093 / 1622.3186999559402
470 / TBAI-40574088H-160121-QAuzBcRBG8Va5-014 / 4668.120399951935 / 1615.4383000135422
480 / TBAI-00293467X-150121-ZLedGLth8Chko-020 / 4934.019799947739 / 1819.5013999938965
