NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
1000 / TBAI-10001866V-130121-AUfv1fMMut0cu-001 / 193.39789998531342 / 58.97669994831085
1010 / TBAI-43717122X-070221-Aja77t6UmdQhn-058 / 158.15880000591278 / 49.68000000715256
1020 / TBAI-03722491X-190121-LwXdW2SAPF7vi-092 / 158.57010000944138 / 47.65990000963211
1030 / TBAI-47384104X-120221-PCGaN3nrxVXkJ-147 / 159.94020003080368 / 53.12510001659393
1040 / TBAI-53772458E-090221-cEMD7NzHKX6S7-078 / 160.5601999759674 / 50.24379998445511
1050 / TBAI-89406945B-170221-vkQFoQXNXXkyy-103 / 162.40469998121262 / 58.14590001106262
1060 / TBAI-75414449W-130221-uD46QexVN1f0y-245 / 164.19349998235703 / 48.561699986457825
1070 / TBAI-12630156M-050121-eqndg4qGzP7+v-079 / 166.43890005350113 / 59.70160001516342
1080 / TBAI-31155320A-070121-qTB+VFNp1sf2b-175 / 165.66240000724792 / 46.4384999871254
1090 / TBAI-83073803B-100221-bzwPq3Rwkt49w-215 / 165.07850003242493 / 49.45550000667572
1100 / TBAI-05775519N-100221-wym0y+Es0XHwn-116 / 169.06760001182556 / 47.763399958610535
1110 / TBAI-74009388B-190221-C/O2g53fkNN3O-070 / 169.06600004434586 / 52.3150999546051
1120 / TBAI-52475019J-210221-a6JCLNrdsuhJg-072 / 171.53500002622604 / 46.83529996871948
1130 / TBAI-74149153M-060121-l5JCknaYrqi6a-178 / 172.23559999465942 / 48.90880000591278
1140 / TBAI-15118956K-310121-vnduzG9wyPQEZ-135 / 182.52889996767044 / 48.86890000104904
1150 / TBAI-66034375H-050221-RxkETQg4w5qP6-144 / 174.65950000286102 / 51.037400007247925
1160 / TBAI-12682273G-070121-VwtsajrYXPQRv-226 / 175.74889999628067 / 49.02389997243881
1170 / TBAI-52766963H-060121-wWHhd1WIHsV2N-074 / 179.95030003786087 / 50.734499990940094
1180 / TBAI-66383799A-040121-K/9M1NG6aonIJ-034 / 179.00020003318787 / 50.59510004520416
1190 / TBAI-20701580Q-100221-Jeee1buK/S19a-106 / 181.3072999715805 / 49.87119996547699
1200 / TBAI-59206150X-140121-LieMP9sL5aTRJ-179 / 181.12279999256134 / 57.76060003042221
1210 / TBAI-13231645K-310121-b02qUW+2qIP2z-236 / 186.25749999284744 / 57.4200000166893
1220 / TBAI-65530454G-160121-ct2caebk4bmGL-252 / 185.5834999680519 / 49.99199998378754
