NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
10 / TBAI-76082162W-190221-lISCzyLpUgVW1-055 / 16.093899965286255 / 7.2976999282837
20 / TBAI-74688192Q-210221-ztPRqPHsHT1Ni-062 / 3.2437000274658203 / 4.819599986076355
30 / TBAI-87938191Z-220121-KZIQk6iK41eoX-060 / 4.230399966239929 / 4.877500057220459
40 / TBAI-92034003D-150221-LrJFgwagZQW//-010 / 5.17929995059967 / 11.613999962806702
50 / TBAI-45419028P-060121-n5BvgGe0riVmt-101 / 13.338099956512451 / 5.539300084114075
60 / TBAI-03413901B-040221-SBv7wEaF9Yy7+-187 / 7.399399995803833 / 5.193199992179871
70 / TBAI-24696679S-210121-IsIXC7NZkJ6WQ-120 / 20.790199995040894 / 5.902199983596802
80 / TBAI-57670613E-100121-Jl6qLrEVbT5c/-029 / 12.230599999427795 / 6.989099979400635
90 / TBAI-34057649P-260121-xsZbhOOyIlqpT-156 / 18.94000005722046 / 6.960299968719482
100 / TBAI-70407946R-100221-hnWmHmI7E0Rnb-130 / 29.36769998073578 / 18.979099988937378
110 / TBAI-53556400A-020221-LbwZURgMqTmy+-053 / 30.790899991989136 / 19.026099920272827
120 / TBAI-09385719V-080121-zyDlTzpmAijKr-134 / 32.00199997425079 / 18.661700010299683
130 / TBAI-64844166J-040121-JwB+3ujL3rZTA-108 / 32.31970000267029 / 20.605000019073486
140 / TBAI-76071186C-060221-URHQp1kugVmCh-008 / 34.41170001029968 / 19.763700008392334
150 / TBAI-36904968L-150221-b2pH4y0DmqFxX-050 / 36.59670007228851 / 28.14419996738434
160 / TBAI-77803035S-020221-R1wWZtyV8jrAK-017 / 36.481500029563904 / 20.485000014305115
170 / TBAI-90738984M-300121-jPKO08sQtKE15-002 / 44.09659993648529 / 20.75059998035431
180 / TBAI-06398991T-280121-ZEX17/B14+dki-229 / 47.46809995174408 / 20.35420000553131
190 / TBAI-25221925X-170221-xyoqiLn7J1Ako-018 / 40.375800013542175 / 21.34659993648529
200 / TBAI-22823162D-140221-ZZUqX/5nVWWhd-030 / 49.659900069236755 / 47.83689999580383
210 / TBAI-31863611D-270121-WGpbhlfVsLSnI-026 / 49.557899951934814 / 21.972000002861023
220 / TBAI-08479023G-280121-TFVIKpqGU9sSR-094 / 42.78200006484985 / 21.695900082588196
230 / TBAI-20588435P-140221-IabGnpkEHPMyn-077 / 53.61779999732971 / 21.430400013923645
240 / TBAI-30748236L-060221-uV2SQXjrbd9j7-158 / 46.65380001068115 / 24.14330005645752
250 / TBAI-97474655B-030221-FfZ2D9Im5KeOd-253 / 56.37269997596741 / 22.088600039482117
260 / TBAI-93173310B-160221-HpwvUN8G71UpC-123 / 54.84250009059906 / 22.525099992752075
270 / TBAI-88864123N-230121-r4/AgcdE/jzGq-173 / 48.982799887657166 / 22.7953999042511
280 / TBAI-19628884V-100221-g+Xm7oD58m7LD-169 / 49.467299938201904 / 27.633300065994263
290 / TBAI-89120272X-270121-INUOOCUwX/W5t-038 / 59.949000000953674 / 22.96969997882843
300 / TBAI-01124534H-140121-ObwmY1vNsUvSl-138 / 54.44510006904602 / 38.70510005950928
310 / TBAI-13362074V-150121-vhgKdpbAUGcl2-194 / 58.99269998073578 / 22.57859992980957
320 / TBAI-39329863R-020121-Hj62paBp8UJkV-043 / 60.14049994945526 / 24.151700019836426
330 / TBAI-40720568B-240121-Kv2FabHkLm1a2-058 / 60.16910004615784 / 23.245499968528748
340 / TBAI-73117554W-080221-K1EI1X1v2ShOa-236 / 66.61230003833771 / 23.075500011444092
350 / TBAI-66732822R-070221-caUHOnZnnvlCo-200 / 57.576900005340576 / 41.207199931144714
360 / TBAI-55300122A-230121-sC4uwCzOuwE7n-072 / 67.86790001392365 / 33.282400012016296
370 / TBAI-77415496A-130221-CW8gtxEqgcHH2-036 / 69.10759997367859 / 24.15339994430542
380 / TBAI-93102476V-170121-udsleONwV8ip7-238 / 78.51429998874664 / 25.22599995136261
390 / TBAI-19486865T-120121-i4z8mfWUGRRL+-212 / 72.35699999332428 / 26.787999987602234
400 / TBAI-68925773V-140121-XTGtZzMB1hAa8-184 / 76.42000007629395 / 25.42840003967285
410 / TBAI-49242575N-280121-WzbK5w3aEVCC+-214 / 72.70469999313354 / 24.95260000228882
420 / TBAI-42236373R-150221-uMHCvdXBChv3s-209 / 75.93770003318787 / 31.971799969673157
430 / TBAI-25475959D-110221-l7JT4hnuIpkhT-175 / 68.9773999452591 / 36.747599959373474
440 / TBAI-91461090A-060221-DIZSqEnXIGGCU-119 / 74.76700007915497 / 26.65120005607605
450 / TBAI-56032925A-130121-VWrQ1DqAJb37Z-240 / 76.13959991931915 / 27.106199979782104
460 / TBAI-63750787P-230121-Qd0j4kSGuyW+2-030 / 82.25049996376038 / 27.23099994659424
470 / TBAI-61792405F-050221-OUGJ5JgK7df+s-206 / 80.33539998531342 / 27.67360007762909
480 / TBAI-63777653X-060221-A2E/LIUWNG4+Z-160 / 80.88619995117188 / 27.13260006904602
490 / TBAI-31833689X-180121-ONQLZmE+DH42K-132 / 91.20860004425049 / 29.706599950790405
500 / TBAI-74100385C-180221-H8n7ENLgt6YQN-134 / 84.31349992752075 / 30.487499952316284
